schids,ctyids,w2pla01,w2pla01a,w2pla01b,w2pla02,w2pla03,w2pla04,w2pla05,w2pla06,w2pla06a,w2pla07,w2pla08a,w2pla08b,w2pla0901,w2pla0902,w2pla0903,w2pla0904,w2pla0905,w2pla0906,w2pla0907,w2pla0908,w2pla0909,w2pla0910,w2pla10,w2pla11,w2pla12,w2pla13,w2pla14a,w2pla14b,w2pla15,w2pla16,w2pla1701,w2pla1702,w2pla1703,w2pla1704,w2pla1705,w2pla1706,w2pla1707,w2pla18,w2pla18b,w2pla19,w2pla20,w2pla2101,w2pla2102,w2pla2103,w2pla2104,w2pla2105,w2pla2106,w2pla2107,w2pla22,w2plb0101a,w2plb0101b,w2plb0102a,w2plb0102b,w2plb0103a,w2plb0103b,w2plb0201,w2plb0202,w2plb0203,w2plb03,w2plb0401,w2plb0402,w2plb0403,w2plb05,w2plb06,w2plb0701,w2plb0702,w2plb0703,w2plb0801,w2plb0802,w2plb0803,w2plb0901,w2plb0902,w2plb0903,w2plb0904,w2plb0905,w2plb0906,w2plb1001a,w2plb1001b,w2plb1001c,w2plb1002a,w2plb1002b,w2plb1002c,w2plb1003a,w2plb1003b,w2plb1003c,w2plb1101,w2plb1102,w2plb1103,w2plb1104,w2plb1105,w2plc0101a,w2plc0101b,w2plc0102,w2plc0103,w2plc0104,w2plc0105,w2plc0106,w2plc0201,w2plc0202,w2plc0203,w2plc0301,w2plc0302,w2plc0303,w2plc0401a,w2plc0402a,w2plc0403a,w2plc0403b,w2plc0404a,w2plc0404b,w2plc0405a,w2plc0405b,w2plc0501,w2plc0502,w2plc0503,w2plc0504,w2plc0505,w2plc0506,w2plc0601,w2plc0602,w2plc07,w2plc08,w2plc09,w2plc10,w2plc1101,w2plc1102,w2plc1103,w2plc1104,w2plc1105,w2plc12,w2plc12a,w2plc13,w2plc13a,w2plc14,w2pld0101,w2pld0102,w2pld0103,w2pld0104,w2pld0105,w2pld0106,w2pld0107,w2pld0108,w2pld0109,w2pld0200,w2pld0201,w2pld0202,w2pld0203,w2pld0204,w2pld0205,w2pld0206,w2pld0207,w2pld0208,w2pld0209,w2pld0301,w2pld0302,w2pld0303,w2pld0304,w2pld0305,w2pld0306,w2pld0401,w2pld0402,w2pld0403,w2pld0404,w2pld0405,w2pld0406,w2ple01,w2ple02a1,w2ple02a2,w2ple02b1,w2ple02b2,w2ple03a,w2ple03b,w2ple04,w2ple05,w2ple06a1,w2ple06a2,w2ple06b1,w2ple06b2,w2ple07,w2ple0800,w2ple0801,w2ple0802,w2ple0803,w2ple0804,w2ple09,w2ple1001,w2ple1002,w2ple1003,w2ple1004,w2ple1005,w2ple1006,w2ple1101,w2ple1102,w2ple1103,w2ple1104,w2ple1105,w2ple1106,w2ple1107,w2ple1108,w2ple12,w2ple13,w2ple14,w2ple1501,w2ple1502,w2ple1503,w2ple1504,w2ple16,w2ple17,w2ple1801,w2ple1802,w2ple1803,w2ple1804,w2ple1805,w2ple1900,w2ple1901,w2ple1902,w2ple1903,w2ple20,w2ple21,w2ple2201,w2ple2202,w2ple2203,w2ple2300,w2ple2301,w2ple2302,w2ple2303,w2ple24,w2ple2501,w2ple2502,w2ple2503,w2ple2504,w2ple2505,w2ple2506,w2ple2507,w2ple2601,w2ple2602,w2ple2603,w2ple2604,w2ple2605,w2ple2606,w2ple2607,w2ple2701,w2ple2702,w2ple2703,w2ple2704,w2ple2705,w2ple2706,w2ple2801,w2ple2802,w2ple2803,w2ple2804,w2ple2805,w2ple2806,w2ple2901a,w2ple2901b,w2ple2901c,w2ple2902a,w2ple2902b,w2ple2902c,w2ple2903a,w2ple2903b,w2ple2903c,w2ple2904a,w2ple2904b,w2ple2904c,w2ple2905a,w2ple2905b,w2ple2905c,w2plf01,w2plf02,w2plf03,w2plf04,w2plf05,w2plf06,w2plf07,w2plf08,w2plf08a,w2plf09,w2plf09a,w2plf10,w2plf10a,w2plf11,w2plf12,w2plf13,w2plf1401,w2plf1402,w2plf1403,w2plf1404,w2plf1405,w2plf1406,w2plf1407,w2plf1501,w2plf1502,w2plf1503,w2plf1504,w2plf1505,w2plf1506,w2plf1507,w2plf1601,w2plf1602,w2plf1603,w2plf1604,w2plf1605
1,1,1,,,2,4,2,2,1,300,3,0,0,2,3,2,2,2,2,2,2,2,1,29,35,4,334,2,35582,4358,1,0,,,0,0,0,0,2,,1,5,1,0,0,0,0,0,0,1,5,120,6,175,6,190,57.0,4.0,39.0,1,4,4,4,3,3,,,,,,,3,2,3,3,3,3,0,0,0,0,4,2,0,10,1,4,4,4,4,4,54,14,54,0,0,7,9.0,1,1,1,16,10,28,0,0,0,,40,40,14,14,0,9,22,14,9,0,,,1,4,1,1,0,0,0,0,1,1,,1,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5.0,7,30,17,0,9,40,2,2,,,,,,1,0,0,0,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,,0,0,0,1,2,,1,0,0,0,0,0,0,1,1,2,2,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,3,4,3,4,4,4,,,,,,,,,,,,,,,,2,2013,2,1967,1,6,1,1,,2,,1,26,26,16,13,0,1,1,0,0,0,0,,,,,,,,1,0,1,0,1
2,1,1,,,1,5,1,2,2,,3,0,,3,3,3,3,3,3,3,3,3,3,33,40,4,180,2,1000,,3,40,40,20,,,,,1,,1,4,1,0,0,0,0,1,0,1,6,173,6,253,6,274,70.0,20.0,10.0,3,2,2,2,4,4,2,1,4,6,7,3,1,1,1,1,1,1,0,1,0,0,4,1,0,10,2,3,3,3,3,3,42,14,42,0,3,7,20.0,2,1,1,5,8,30,0,0,0,,32,32,10,10,0,,12,15,15,0,150000,100000,1,4,1,1,0,0,0,0,1,1,20,1,10,1,0,0,0,150,0,0,1500,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5.0,7,30,17,0,8,40,2,,,,,,,0,0,0,1,0,30,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,0,2,,0,1,0,1,0,0,0,1,0,2,2,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,2,2,2,2,3,230,40,,150,90,,10,0,,,,,,,,3,2014,1,1986,3,6,1,1,2008,2,,1,6,7,3,2,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0
3,1,1,,,1,1,2,2,2,,3,0,,3,2,2,2,2,2,1,2,1,1,12,25,4,30,2,,,1,,,,0,0,0,0,2,,1,2,1,1,0,1,0,1,0,2,2,29,4,66,2,27,3.0,0.0,,1,2,2,2,1,1,10,9,7,99,,,2,2,2,2,2,2,0,5,2,0,16,0,0,5,0,4,1,3,4,2,41,7,38,2,1,1,3.0,2,2,2,7,7,24,0,0,0,,35,,3,,4,0,12,11,7,0,100000,80000,2,4,1,1,1,0,0,0,0,1,6,1,2,2,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5.0,7,20,17,0,7,45,2,,,,,,,1,0,0,0,0,95,2,1,2,1,1,1,1,2,1,1,1,1,1,1,3,2,,,,,,2,,1,1,0,0,0,0,0,1,0,1,2,2,,,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,2,2,2,2,3,2,2,38,,,3,,,1,,,24,,,0,,3,2012,2,1977,1,6,1,1,2011,2,,1,4,15,3,7,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1
4,1,1,,,1,3,2,2,1,,3,,,,,,,,,,,1,1,45,30,4,57,2,,,1,,,,,,,,2,,2,4,1,1,0,1,1,1,1,2,5,152,6,152,6,124,60.0,,40.0,2,,,,2,2,8,10,9,,,,2,2,2,2,2,2,0,25,0,0,30,,0,40,,4,4,4,4,4,101,10,101,0,0,3,5.0,2,2,2,12,23,66,,,,,91,101,10,,,,69,27,15,,,,2,4,1,1,0,0,0,0,1,1,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5.0,8,,16,30,7,45,2,2,,,,,2,1,0,0,0,0,100,3,2,2,1,4,2,1,1,2,1,1,1,1,1,1,1,2,0,0,1,0,2,5,0,1,0,0,1,0,0,0,1,1,2,2,2,2,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,4,2,3,2,3,2,210,,,109,,,41,,,60,,,0,,,3,2010,2,1970,3,5,1,1,1995,2,,1,13,23,5,8,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1
5,2,1,,,1,4,2,2,1,300,2,40,6,3,2,2,2,2,2,1,1,1,1,21,40,2,80,2,10000,0,3,9,10,10,0,0,0,0,2,,5,6,1,0,0,1,1,0,0,2,4,790,6,220,4,170,95.0,3.0,2.0,2,4,4,4,1,2,2,4,3,9,10,7,2,2,2,3,2,1,0,4,1,0,5,2,0,9,3,3,4,4,4,4,70,25,70,0,2,2,10.0,2,2,2,15,40,60,0,0,0,0,105,70,6,1,0,2,20,60,25,0,5000,3000,1,4,1,1,0,0,0,0,1,1,3,1,2,2,0,0,0,0,0,60,7,225,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,5.0,7,30,16,30,6,40,2,2,,,,,,1,0,0,0,0,40,3,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,2,0,0,1,0,2,,0,1,1,1,0,0,0,1,0,2,2,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,3,2,2,3,2,2,140,20,,30,5,,70,6,,40,20,,0,0,,3,2012,1,1976,1,6,1,1,1996,1,4,1,12,19,10,4,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1
6,2,1,,,2,3,2,2,1,400,3,0,,3,3,3,3,3,3,3,3,3,1,48,45,4,236,2,88768,,4,,,98,0,0,1,1,2,,,1,1,0,0,1,1,1,0,2,12,496,12,535,14,651,71.0,0.0,29.0,2,9,9,9,2,2,9,8,7,99,99,99,9,9,9,9,9,9,0,2,1,0,10,3,0,47,0,3,4,3,4,4,148,36,145,0,1,0,11.4,1,1,1,4,43,101,0,1,8,4,133,121,6,4,2,1,28,72,45,0,80000,60000,2,4,1,1,0,0,0,0,1,1,10,2,,2,0,0,0,460,0,70,7,0,,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0.5,7,45,16,30,7,45,2,2,,,,,,1,0,0,0,0,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,0,0,1,0,2,,1,1,0,0,0,0,0,0,1,1,2,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,3,3,2,3,2,2,448,,9,190,,,102,,,156,,,0,,,1,2007,1,1955,1,6,1,1,1996,2,,1,8,35,8,29,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1
7,2,1,,,1,4,1,1,1,400,3,0,,3,3,3,3,3,3,1,3,1,1,48,45,4,272,2,58116,1970,1,,,100,,,,,2,,3,6,1,1,0,1,1,1,1,2,10,408,8,325,9,318,61.0,0.0,39.0,1,4,4,2,3,4,9,10,7,7,10,8,2,1,2,3,3,3,,8,2,,16,3,,18,4,1,4,3,4,4,122,40,117,0,1,0,10.1,1,1,1,15,33,74,0,0,5,5,113,113,4,4,0,0,22,54,28,0,100000,80000,1,4,1,1,0,0,0,0,1,1,12,1,2,1,0,0,57,110,0,50,5,0,,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,5.0,7,30,16,35,7,5,2,,,,,,,1,0,0,0,0,10,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,,,,,,2,,1,1,0,0,0,0,0,0,1,1,2,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,3,2,2,2,2,2,178,63,,34,3,,91,17,,51,41,,2,2,,1,2007,1,1968,1,5,1,1,1989,1,3,1,15,25,8,15,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1
8,2,1,,,1,3,1,2,1,300,3,0,0,3,3,3,3,3,3,1,3,2,1,22,45,3,94,2,24690,2216,1,,,100,,,,,2,,2,6,1,0,0,0,0,1,0,2,4,151,4,152,4,143,73.0,,27.0,2,3,3,2,2,2,7,8,10,9,10,7,3,2,3,2,3,2,,,,,,,,,,2,4,2,4,4,61,23,60,1,1,4,9.0,1,1,1,6,17,38,,,1,1,50,40,10,8,,1,18,24,18,0,132000,126000,1,4,1,1,0,0,0,0,1,1,30,2,,1,,,,,,,600,,,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,5.0,7,30,16,30,7,45,2,,,,,,,1,0,0,0,0,30,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,2,,1,1,0,0,0,0,0,1,0,2,2,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,3,3,2,3,2,2,139,30,,14,3,,80,5,,27,20,,18,2,,1,2013,1,1967,1,7,1,1,,2,,1,25,27,2,9,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1
9,3,1,,,2,5,2,2,1,200,3,0,,3,3,3,3,3,3,1,3,1,1,32,63,4,360,2,63478,,,,,,,,,,2,,1,4,1,0,0,1,0,0,0,1,20,1059,20,1200,20,1167,100.0,,,2,,,,3,3,,,,,,,,,,,,,0,0,0,0,3,1,0,19,3,2,3,3,3,3,313,65,,0,8,0,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,5.0,7,30,17,25,8,40,2,2,,,,,,1,0,0,0,0,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,,,,,,2,,1,0,0,0,0,0,0,0,1,1,2,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,2,,2,2,2,,1100,,,280,,,790,,,30,,,0,,,2,2010,1,1978,1,7,1,1,1998,2,,1,12,17,17,7,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
10,3,1,,,2,4,2,2,1,250,3,0,0,2,2,2,2,1,2,1,2,1,1,32,60,4,180,2,63200,108,4,,,,,,,,2,,1,4,1,0,0,1,1,0,0,2,8,372,12,607,12,593,100.0,0.0,0.0,1,9,9,9,3,3,6,7,8,99,99,99,9,9,9,9,9,9,0,0,4,0,2,6,0,19,8,4,4,4,4,4,183,31,178,0,1,2,8.6,1,1,1,3,26,154,,,5,5,176,176,2,2,3,0,25,1,54,0,48000,33600,2,4,1,2,0,0,0,0,1,1,4,2,,2,0,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.0,8,0,17,30,8,40,2,,,,,,,1,0,0,0,0,20,2,2,2,1,2,2,2,1,2,1,1,2,1,1,3,1,1,0,0,1,0,2,,1,1,0,0,0,1,0,0,0,2,2,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,3,3,2,2,2,2,607,0,,230,0,,357,0,,15,0,,0,0,,2,2003,2,1963,1,5,1,1,1997,2,,1,15,33,21,18,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1
11,3,1,,,2,4,2,2,1,,3,0,0,2,2,2,2,1,1,1,2,1,1,30,60,4,138,2,700000,885,4,60,28,12,,,,,2,,1,2,1,0,0,0,1,1,0,2,8,420,11,710,11,700,100.0,0.0,0.0,1,9,9,9,4,2,6,7,2,,,,9,9,9,9,9,9,0,1,8,0,2,5,0,0,0,4,4,4,4,4,183,38,183,0,3,2,10.0,1,1,1,4,7,179,0,0,5,3,176,160,2,2,3,0,23,101,56,0,500000,300000,2,4,1,2,0,0,0,0,1,1,4,1,2,2,0,,0,170,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.0,7,50,17,30,8,40,2,2,,,,,,1,0,0,0,0,20,2,1,2,1,2,1,2,2,2,1,2,1,1,1,3,2,,,,,,2,5,1,1,0,0,0,0,0,0,1,2,2,1,2,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,3,1,1,2,1,2,596,,9,150,,9,337,,9,87,,9,22,,9,2,2012,2,1968,1,5,1,1,,2,,1,16,25,4,11,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1
12,3,1,,,1,3,2,2,1,200,3,0,0,3,3,3,2,1,2,1,2,1,1,12,45,4,54,2,21769,880,,,,100,,,,,2,,3,7,1,0,0,1,0,1,0,2,4,197,4,165,4,110,72.0,22.0,6.0,3,2,3,1,1,3,9,7,10,7,9,10,2,1,3,2,2,2,0,0,2,0,0,1,0,0,0,3,3,3,3,3,62,18,62,0,0,4,10.0,2,2,2,7,15,40,0,0,7,7,53,53,2,2,2,2,9,32,17,,50000,40000,2,4,1,2,0,0,0,0,1,1,12,1,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,5.0,7,30,16,30,7,40,2,,,,,,,1,0,0,0,0,20,1,2,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,2,4,1,1,0,0,0,0,0,0,1,2,2,1,1,1,0,1,1,0,2,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,3,1,2,3,1,1,64,20,,10,,9,35,9,,14,7,,5,4,,2,2011,1,1974,1,5,1,1,1993,2,,1,18,23,23,12,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0
13,4,1,,,2,4,1,2,1,250,1,,8,3,3,3,3,3,3,3,3,3,1,24,44,4,82,2,,1020,4,20,20,60,0,0,0,0,2,,4,7,1,0,0,1,0,1,0,2,4,160,4,182,5,,100.0,0.0,0.0,3,9,9,9,2,2,9,7,6,99,99,99,9,9,9,9,9,9,0,1,0,8,0,2,10,0,0,4,4,3,4,4,58,26,55,58,1,0,10.0,2,2,2,6,28,24,0,0,38,,20,,0,,0,10,27,20,1,0,,2000,2,3,1,2,0,0,0,0,1,1,25,1,3,1,0,0,68,0,0,38,220,0,,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,5.0,7,30,20,40,4,45,1,2,19,55,20,40,1,1,0,0,0,0,30,3,3,3,3,4,1,2,2,1,1,2,1,1,1,3,1,1,1,1,1,0,1,5,1,1,0,0,0,0,0,1,0,1,2,2,1,2,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,2,2,3,3,2,2,,,9,,,9,,,9,,,9,,,9,2,2013,1,1978,1,4,1,1,2007,2,,1,14,16,3,2,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1
14,4,1,,,2,5,2,2,2,,2,17,10,1,1,1,1,1,1,2,2,1,1,32,50,4,150,1,,1172,4,100,0,0,0,0,0,0,2,,1,2,1,0,0,1,1,0,0,2,8,417,9,458,9,448,100.0,0.0,0.0,3,9,9,9,3,3,7,6,4,99,99,99,9,9,9,9,9,9,4,0,3,5,0,3,5,0,7,3,3,2,3,3,120,36,113,20,1,2,11.375,2,2,1,12,36,72,0,7,12,12,101,101,0,0,0,15,51,46,8,0,45000,42000,2,4,1,2,0,1,0,0,0,1,5,1,3,2,0,0,235,83,0,38,1100,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,5.0,7,30,20,30,9,45,1,1,19,0,20,30,1,1,0,0,0,0,3,1,2,2,1,3,2,1,2,1,1,1,1,2,2,3,1,1,0,0,1,0,1,4,1,0,0,0,0,0,0,1,0,1,2,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,2,3,1,2,2,2,423,,9,89,,9,267,,9,85,,9,,,,1,2012,1,1972,1,5,1,1,1996,2,,1,12,23,3,13,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1
15,4,1,,,1,4,2,2,1,300,2,30,8,3,3,2,2,2,2,2,2,1,1,30,52,4,160,2,40000,480,1,100,0,0,0,0,0,0,2,,3,4,1,0,0,1,1,0,0,2,8,390,9,450,9,420,,2.0,0.0,1,2,2,1,2,2,9,10,7,99,99,99,2,2,2,2,2,2,3,0,2,13,5,5,23,10,10,4,2,2,3,4,132,48,125,130,1,1,10.0,2,1,2,5,25,102,0,0,42,32,90,80,0,0,,4,70,52,4,,43000,35000,2,4,2,2,0,0,1,1,0,1,5,2,,2,0,0,180,80,0,38,1100,0,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5.0,7,30,20,30,10,45,1,1,17,20,20,30,1,1,0,0,0,0,30,3,2,2,3,1,1,1,2,1,1,1,1,1,1,1,1,1,0,0,1,0,2,,0,1,0,0,0,1,0,0,0,2,2,2,2,2,0,1,1,0,2,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,2,3,2,2,2,2,419,1,,80,,,280,,,40,,,,,,2,2013,1,1977,1,5,1,1,1999,2,,1,17,19,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1
